Artikelnummer (AR+[ID])	Artikelnummer Systemfremd	Artikelgruppe	Artikelname Vermietung	Artikelkurzbeschreibung Vermietung	Vermietpreis Min	Vermietpreis Soll	Vermietpreis UVP	Artikelname Verkauf	Artikelkurzbeschreibung Verkauf	Herstellerfirma	Verkaufpreis Min	Verkaufpreis Soll	Verkaufpreis UVP	ArtikelSeriennummer	Equipments	Eigene Equipments	Anzahl fremde Equipments	In Werkstatt	Equipments verkauft	EK netto	Anmietpreis	H?he [mm]	Breite [mm]	L?nge [mm]	Gewicht [kg]	Anschlussleistung [W]	
AR993	 - 	In Ear Monitoring Drahtlos	DAP Silent Disco Headphones	DAP Silent Disco Headphones Bis zu 450 m Reichweite im Freien Lautstärkeregelung und Kanalauswahl Laufzeit des Li-Ionen-Polymer-Akkus bis zu 8 Stunden LEDs über Sender/Keypad (optional) steuerbar Platzsparend einklappbare Hörmuschel	0.0	10	0.0	DAP Silent Disco Headphones	DAP Silent Disco Headphones Bis zu 450 m Reichweite im Freien Lautstärkeregelung und Kanalauswahl Laufzeit des Li-Ionen-Polymer-Akkus bis zu 8 Stunden LEDs über Sender/Keypad (optional) steuerbar Platzsparend einklappbare Hörmuschel	NULL	0.0	43.28	0.0	 - 	65	0	65	0	0	28.90	 - 	0.0	0.0	0.0	0.000	0
AR994	 - 	In Ear Monitoring Drahtlos	DAP Silent Disco Transmitter	Große Reichweite von bis zu 450 m 863-865 MHz Frequenzband 3 auswählbare Kanäle Optionales Keypad zur Fernsteuerung der Kopfhörerfarben 12-V-Netzteil (DC) enthalten	0.0	20	0.0	DAP Silent Disco Transmitter	Große Reichweite von bis zu 450 m 863-865 MHz Frequenzband 3 auswählbare Kanäle Optionales Keypad zur Fernsteuerung der Kopfhörerfarben 12-V-Netzteil (DC) enthalten	NULL	0.0	184.03	0.0	 - 	3	0	3	0	0	125	 - 	0.0	0.0	0.0	0.000	0
AR995	 - 	In Ear Monitoring Drahtlos	DAP Silent Disco Transmitter	Große Reichweite von bis zu 450 m 863-865 MHz Frequenzband 3 auswählbare Kanäle Optionales Keypad zur Fernsteuerung der Kopfhörerfarben 12-V-Netzteil (DC) enthalten	0.0	20	0.0	DAP Silent Disco Transmitter	Große Reichweite von bis zu 450 m 863-865 MHz Frequenzband 3 auswählbare Kanäle Optionales Keypad zur Fernsteuerung der Kopfhörerfarben 12-V-Netzteil (DC) enthalten	NULL	0.0	184.03	0.0	 - 	3	0	3	0	0	125	 - 	0.0	0.0	0.0	0.000	0
AR996	 - 	In Ear Monitoring Drahtlos	DAP Keypad for LED Control of Silent Disco Headph.	Steuerung der LEDs der DAP Silent Disco Headphones über den Silent Disco Transmitter 16 Tasten mit vordefinierten Einstellungen Extra langes Anschlusskabel (8 m)	0.0	10	0.0	DAP Keypad for LED Control of Silent Disco Headph.	Steuerung der LEDs der DAP Silent Disco Headphones über den Silent Disco Transmitter 16 Tasten mit vordefinierten Einstellungen Extra langes Anschlusskabel (8 m)	NULL	0.0	17.23	0.0	 - 	3	0	3	0	0	11.50	 - 	0.0	0.0	0.0	0.000	0
AR997	 - 	In Ear Monitoring Drahtlos	DAP Charger for Silent Disco Headphones	Lädt gleichzeitig 16 DAP Silent Disco Headphones Verhindert Chaos bei den Kabeln Weniger Steckdosen erforderlich	0.0	10	0.0	DAP Charger for Silent Disco Headphones	Lädt gleichzeitig 16 DAP Silent Disco Headphones Verhindert Chaos bei den Kabeln Weniger Steckdosen erforderlich	NULL	0.0	44.12	0.0	 - 	3	0	3	0	0	29.50	 - 	0.0	0.0	0.0	0.000	0
AR182	 - 	Kabel - Adapter	AdapterKabel 3,5 Kl auf 2x 6,3Kl	AdapterKabel 3,5 Kl auf 2x 6,3Kl	 - 	0.50	 - 	AdapterKabel 3,5 Kl auf 2x 6,3Kl	AdapterKabel 3,5 Kl auf 2x 6,3Kl	NULL	 - 	7.9	 - 	 - 	4	4	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR183	 - 	Kabel - Adapter	Adapterkabel 2x Ch. auf 2x XLR	Adapterkabel 2x Ch. auf 2x XLR	 - 	0.50	 - 	Adapterkabel 2x Ch. auf 2x XLR	Adapterkabel 2x Ch. auf 2x XLR	NULL	 - 	8.9	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR191	 - 	Kabel - Adapter	2xCinch  auf 2 x Klinke Male	 - 	 - 	0.50	 - 	Cinch Female auf Klinke Male	 - 	NULL	 - 	 - 	 - 	 - 	20	20	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR193	 - 	Kabel - Adapter	AdapterKabel 3,5 Kl auf 2x XLR	AdapterKabel 3,5 Kl auf 2x XLR	 - 	0.50	 - 	AdapterKabel 3,5 Kl auf 2x XLR	AdapterKabel 3,5 Kl auf 2x XLR	NULL	 - 	 - 	 - 	 - 	20	20	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR672	 - 	Kabel - Adapter	Adapterkabel 6,3 Kl. auf XLR	Adapterkabel 6,3 Kl. auf XLR	 - 	0.5	 - 	Adapterkabel 6,3 Kl. auf XLR	Adapterkabel 6,3 Kl. auf XLR	NULL	 - 	 - 	 - 	 - 	21	20	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR440	 - 	Kabel - Antenne	Sennheiser GZL RG 8x - 5m BNC / Antennen Kabel 	Sennheiser GZL RG 8x - 5m BNC / Antennen Kabel	 - 	0.50	 - 	Sennheiser GZL RG 8x - 5m BNC / Antennen Kabel 	Sennheiser GZL RG 8x - 5m BNC / Antennen Kabel	NULL	 - 	 - 	 - 	 - 	6	0	6	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR441	 - 	Kabel - Antenne	Sennheiser GZL RG 58 - 0.5m	Sennheiser GZL RG 58 - 0.5m	 - 	0.50	 - 	Sennheiser GZL RG 58 - 0.5m	Sennheiser GZL RG 58 - 0.5m	NULL	 - 	 - 	 - 	 - 	12	0	12	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR195	 - 	Kabel - BÃ¼hnenmulticore	8-fach-Multicore  15m	8-fach-Multicore  15m	 - 	15	 - 	8-fach-Multicore  15m	8-fach-Multicore  15m	NULL	 - 	 - 	 - 	 - 	6	6	0	0	0	 - 	 - 	 - 	 - 	1500	0.000	0
AR198	 - 	Kabel - BÃ¼hnenmulticore	Multicore 32-8 50m	MC328D, Multicore, 32 Send  8 Return Leitungen, Länge 50m	30	40	50	Multicore 32-8 50m	MC328D, Multicore, 32 Send  8 Return Leitungen, Länge 50mTHE SSSNAKE MC328D, Multicore, 32 Send  8 Return Leitungen, Länge 40m	NULL	 - 	 - 	 - 	 - 	8	8	0	0	0	 - 	 - 	600	500	50000	55.000	0
AR438	 - 	Kabel - BÃ¼hnenmulticore	6ch XLR m-XLRw Subcore 3m	6ch XLR m-XLRw Subcore 3m	 - 	 - 	 - 	6ch XLR m-XLRw Subcore 3m	6ch XLR m-XLRw Subcore 3m	NULL	 - 	7,50	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR784	 - 	Kabel - BÃ¼hnenmulticore	Multicore 16x4, 30m	Multicore 16x4, 30m	20	25	30	Multicore 16x4, 30m	Multicore 16x4, 30m	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR64	 - 	Kabel - DMX	25m DMX Kabel 3Pol 	25m DMX Kabel 3Pol 	2.0	2.0	2.50	25m DMX Kabel 3Pol 	25m DMX Kabel 3Pol 	NULL	 - 	 - 	 - 	 - 	12	12	0	0	0	 - 	 - 	 - 	 - 	25000	0.000	0
AR69	 - 	Kabel - DMX	DMX 5P TR 50 Kabel auf Tromel	DMX 5P TR 50 Kabel auf Tromel	15	15	15	DMX 5P TR 50 Kabel auf Tromel	DMX 5P TR 50 Kabel auf Tromel	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR110	 - 	Kabel - DMX	Verkabelung DMX n.B.	Verkabelung DMX n.B.	 - 	 - 	 - 	Verkabelung DMX n.B.	Verkabelung DMX n.B.	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR127	 - 	Kabel - DMX	DMX Kabel  3P 10m	DMX Kabel  3P 10m	 - 	0.50	 - 	DMX Kabel  3P 10m	DMX Kabel  3P 10m	NULL	 - 	15	 - 	 - 	60	50	10	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR128	 - 	Kabel - DMX	DMX Kabel 5P 5m	DMX Kabel 5P 5m	 - 	0.50	 - 	DMX Kabel 5P 5m	DMX Kabel 5P 5m	NULL	 - 	11	 - 	 - 	60	60	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR129	 - 	Kabel - DMX	DMX Kabel 3P 3m	DMX Kabel 3P 3m	 - 	0.5	 - 	DMX Kabel 3P 3m	DMX Kabel 3P 3m	NULL	 - 	7.50	 - 	 - 	110	100	10	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR130	 - 	Kabel - DMX	DMX Kabel 3P 1,5m	DMX Kabel 3P 1,5m	 - 	0.50	 - 	DMX Kabel 3P 1,5m	DMX Kabel 3P 1,5m	NULL	 - 	5.50	 - 	 - 	10	0	10	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR236	 - 	Kabel - DMX	DMX Kabel Set	N.B.	 - 	50	 - 	DMX Kabel Set	n.B	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR514	 - 	Kabel - DMX	DMX Kabel 3P 5m	DMX Kabel 3P 5m	 - 	0.50	 - 	DMX Kabel 3P 5m	DMX Kabel 3P 5m	NULL	 - 	11	 - 	 - 	50	50	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR516	 - 	Kabel - DMX	DMX Kabel 5P 3m	DMX Kabel 5P 3m	 - 	0.5	 - 	DMX Kabel 5P 3m	DMX Kabel 5P 3m	NULL	 - 	7.50	 - 	 - 	50	50	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR517	 - 	Kabel - DMX	DMX Kabel 5P 10m	DMX Kabel 5P 10m	 - 	0.5	 - 	DMX Kabel 5P 10m	DMX Kabel 5P 10m	NULL	 - 	7.50	 - 	 - 	50	50	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR518	 - 	Kabel - DMX	DMX Kabel 5P 1,5m	DMX Kabel 5P 1,5m	 - 	0.50	 - 	DMX Kabel 5P 1,5m	DMX Kabel 5P 1,5m	NULL	 - 	11	 - 	 - 	50	50	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR840	 - 	Kabel - DMX	Verkabelung 	20 NF PATCHStück Kabel, Patch XLR male-female 20 DMX 3P 02,5Stück DMX Kabel 3p 2,5m 30 DMX 3P 05Stück DMX Kabel 3p 5m 20 DMX 3P 10Stück DMX Kabel 3p 10m 20 SCHUKO 05Stück Schukokabel 5m/3G1,5 10 SCHUKO 10Stück Schukokabel 10m/3G1,5 10 SCHUKO 15Stück Schukokabel 15m/3G1,5 20 SCHUKO X3Stück Schukoverteiler 3fach 10 SCHUKO X6Stück Schukoverteiler 6fach	 - 	 - 	 - 	Verkabelung 	20 NF PATCHStück Kabel, Patch XLR male-female 20 DMX 3P 02,5Stück DMX Kabel 3p 2,5m 30 DMX 3P 05Stück DMX Kabel 3p 5m 20 DMX 3P 10Stück DMX Kabel 3p 10m 20 SCHUKO 05Stück Schukokabel 5m/3G1,5 10 SCHUKO 10Stück Schukokabel 10m/3G1,5 10 SCHUKO 15Stück Schukokabel 15m/3G1,5 20 SCHUKO X3Stück Schukoverteiler 3fach 10 SCHUKO X6Stück Schukoverteiler 6fach	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR845	 - 	Kabel - DMX	DMX Kabel 5 Polig bis 2m Path	DMX Kabel 5 Polig bis 2m	 - 	0.5	 - 	DMX Kabel 5 Polig bis 2m	DMX Kabel 5 Polig bis 2m	NULL	 - 	 - 	 - 	 - 	20	20	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR871	 - 	Kabel - DMX	EUROLITE DNK-1 Adapter DMX-RJ45	Kabelsplitter RJ45/4 x XLR 3-polig, male Praktischer Splitter für DMX-Anwendungen über Netzwerkkabel Farbmarkierungen zur eindeutigen Identifizierung der DMX-Universen Robuste, sehr kompakte Bauweise	0.0	2.5	0.0	EUROLITE DNK-1 Adapter DMX-RJ45	Kabelsplitter RJ45/4 x XLR 3-polig, male Praktischer Splitter für DMX-Anwendungen über Netzwerkkabel Farbmarkierungen zur eindeutigen Identifizierung der DMX-Universen Robuste, sehr kompakte Bauweise	NULL	0.0	0.0	0.0	 - 	4	0	4	0	0	29.00	 - 	0.0	0.0	0.0	0.000	0
AR164	 - 	Kabel - Hybrid	Kabel Power Signal 6 m	Kabel Power Signal 6 m	.50	1.00	1.50	Kabel Power Signal 6 m	Kabel Power Signal 6 m	NULL	 - 	 - 	 - 	 - 	8	8	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR165	 - 	Kabel - Hybrid	Kabel Power Signal 10 m	Kabel Power Signal 10 m	0.50	1.00	1.50	Kabel Power Signal 10 m	Kabel Power Signal 10 m	NULL	 - 	 - 	 - 	 - 	6	6	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR187	 - 	Kabel - Lautsprecher	Verkabelung Set	 - 	 - 	50	50	Verkabelung Set	 - 	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR258	 - 	Kabel - Lautsprecher	Speakon Lautsprecherkabel 10m 4-Pol	Speakon Lautsprecherkabel 10m 4-Pol	 - 	2,50	 - 	Speakon Lautsprecherkabel 10m 4-Pol	Speakon Lautsprecherkabel 10m 4-Pol	NULL	 - 	 - 	 - 	 - 	10	10	0	0	0	 - 	 - 	 - 	 - 	1000	4.000	0
AR259	 - 	Kabel - Lautsprecher	Speakon Lautsprecherkabel 5m 4-Pol 4x4qmm	Speakon Lautsprecherkabel 5m 4-Pol 4x4qmm	 - 	2	 - 	Speakon Lautsprecherkabel 5m 4-Pol 4x4qmm	Speakon Lautsprecherkabel 5m 4-Pol 4x4qmm	NULL	 - 	 - 	 - 	 - 	10	10	0	0	0	 - 	 - 	 - 	 - 	5000	0.000	0
AR324	 - 	Kabel - Lautsprecher	Kudo System Kabel 25m	Kudo System Kabel 25m	 - 	2.50	 - 	Kudo System Kabel 25m	Kudo System Kabel 25m	NULL	 - 	 - 	 - 	 - 	4	0	4	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR347	 - 	Kabel - Lautsprecher	Lautsprecherkabel Adapter EP5 male auf NL4	Lautsprecherkabel Adapter EP5 male auf NL4	 - 	1	 - 	Lautsprecherkabel Adapter EP5 male auf NL4	Lautsprecherkabel Adapter EP5 male auf NL4	NULL	 - 	 - 	 - 	 - 	8	0	8	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR348	 - 	Kabel - Lautsprecher	Lautsprecherkabel Adapter NL4 auf EP5 female 	Lautsprecherkabel Adapter NL4 auf EP5 female (4x4mm2 / 0,5m)	 - 	1	 - 	Lautsprecherkabel Adapter NL4 auf EP5 female (4x4m	Lautsprecherkabel Adapter NL4 auf EP5 female (4x4mm2 / 0,5m)	NULL	 - 	 - 	 - 	 - 	8	0	8	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR349	 - 	Kabel - Lautsprecher	Speakon Kupplung	Speakon Kupplung	 - 	 - 	 - 	Speakon Kupplung	Speakon Kupplung	NULL	 - 	 - 	 - 	 - 	8	0	8	0	0	,50	 - 	 - 	 - 	 - 	0.000	0
AR350	 - 	Kabel - Lautsprecher	Lautsprecher Kabel EP5 0,75m	Lautsprecher Kabel EP5 0,75m	 - 	.50	 - 	Lautsprecher Kabel  EP5 0,75m	Lautsprecher Kabel EP5  0,75m	NULL	 - 	 - 	 - 	 - 	18	0	18	0	0	18	 - 	 - 	 - 	 - 	0.000	0
AR351	 - 	Kabel - Lautsprecher	Lautsprecher Kabel EP5  2,5m	Lautsprecher Kabel EP5 2,5m	 - 	 - 	 - 	Lautsprecher Kabel EP5 2,5m	Lautsprecher Kabel EP5 2,5m	NULL	 - 	 - 	 - 	 - 	6	0	6	0	0	0.50	 - 	 - 	 - 	 - 	0.000	0
AR352	 - 	Kabel - Lautsprecher	Lautsprecher Kabel EP 5 5m	Lautsprecher Kabel EP 5 5m	 - 	 - 	 - 	Lautsprecher Kabel EP 5 5m	Lautsprecher Kabel EP 5 5m	NULL	 - 	 - 	 - 	 - 	6	0	6	0	0	0,50	 - 	 - 	 - 	 - 	0.000	0
AR353	 - 	Kabel - Lautsprecher	Lautsprecher Kabel  EP5 10m	Lautsprecher Kabel  EP5 10m	 - 	 - 	 - 	Lautsprecher Kabel  EP5 10m	Lautsprecher Kabel  EP5 10m	NULL	 - 	 - 	 - 	 - 	6	6	0	0	0	0,50	 - 	 - 	 - 	 - 	0.000	0
AR354	 - 	Kabel - Lautsprecher	Lautsprecher Kabel  EP 5 15m	Lautsprecher Kabel  EP 5 15m	 - 	 - 	 - 	Lautsprecher Kabel  EP 5 15m	Lautsprecher Kabel  EP 5 15m	NULL	 - 	 - 	 - 	 - 	4	4	0	0	0	0,50	 - 	 - 	 - 	 - 	0.000	0
AR355	 - 	Kabel - Lautsprecher	Lautsprecher Kabel EP 5 20m	Lautsprecher Kabel EP 5 20m	 - 	 - 	 - 	Lautsprecher Kabel EP 5 20m	Lautsprecher Kabel EP 5 20m	NULL	 - 	 - 	 - 	 - 	4	0	4	0	0	0,50	 - 	 - 	 - 	 - 	0.000	0
AR563	 - 	Kabel - Lautsprecher	Kudo Do Kabel 0,5m	Kudo Do Kabel 0,5m	 - 	 - 	 - 	Kudo Do Kabel 0,5m	Kudo Do Kabel 0,5m	NULL	 - 	 - 	 - 	 - 	4	0	4	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR984	 - 	Kabel - Lautsprecher	Lautsprecherkabel 2x1,5 100m sw	Lautsprecherkabel 2x1,5 100m sw	0.0	0.0	0.0	Lautsprecherkabel 2x1,5 100m sw	Lautsprecherkabel 2x1,5 100m sw	NULL	0.0	99	0.0	 - 	1	0	1	0	0	59	 - 	0.0	0.0	0.0	0.000	0
AR99	 - 	Kabel - Mikrofon	XLR-Kabel 10m Schwarz	XLR male - XLR female, 3 pol. XLR, schwarz	 - 	 - 	 - 	XLR-Kabel 10m Schwarz	 XLR male - XLR female, 110 Ohm, 3 pol. XLR, schwarz	NULL	 - 	16	 - 	 - 	150	150	0	0	0	8.35	 - 	5	5	10000	0.000	0
AR189	 - 	Kabel - Mikrofon	XLR-Kabel 1m Schwarz	XLR male - XLR female, 110 Ohm, 3 pol. XLR, schwarz 	 - 	0.5	 - 	XLR-Kabel 1m Schwarz	 XLR male - XLR female, 110 Ohm, 3 pol. XLR, schwarz	NULL	 - 	 - 	 - 	 - 	51	51	0	0	0	 - 	 - 	5	5	100	0.000	0
AR190	 - 	Kabel - Mikrofon	XLR-Kabel 6m Schwarz	XLR male - XLR female, 3 pol. XLR, schwarz	 - 	0.5	 - 	XLR-Kabel 6m Schwarz	 XLR male - XLR female, 110 Ohm, 3 pol. XLR, schwarz	NULL	 - 	12.5	 - 	 - 	130	130	0	0	0	6.05	 - 	5	5	600	0.000	0
AR192	 - 	Kabel - Mikrofon	XLR Kabel 3m	XLR Kabel 3m	 - 	0.5	0	XLR Kabel 3m	 - 	NULL	 - 	9.5	 - 	 - 	60	60	0	0	0	4.75	 - 	 - 	 - 	300	0.000	0
AR434	 - 	Kabel - Mikrofon	XLR-XLR 20m	XLR-XLR 20m	1.5	1.5	1.5	XLR-XLR 20m	XLR-XLR 20m	NULL	 - 	 - 	 - 	 - 	15	0	15	0	0	 - 	 - 	 - 	 - 	10	0.100	0
AR437	 - 	Kabel - Mikrofon	XLR-XLR 15m	XLR-XLR 15m	 - 	1.5	 - 	XLR-XLR 15m	XLR-XLR 15m	NULL	 - 	20	 - 	 - 	24	24	0	0	0	10.5	 - 	 - 	 - 	15	0.150	0
AR787	 - 	Kabel - Mikrofon	XLR Kabel 1,5 m	XLR Kabel 1,5 m	 - 	0,5	 - 	XLR Kabel 1,5 m	XLR Kabel 1,5 m	NULL	 - 	 - 	 - 	 - 	6	6	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR788	 - 	Kabel - Mikrofon	XLR Pathkabel, Kurz	XLR Pathkabel, Kurz	 - 	0,5	 - 	XLR Pathkabel, Kurz	XLR Pathkabel, Kurz	NULL	 - 	 - 	 - 	 - 	13	13	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR10	 - 	Kabel - Strom 230V	Stromkabel Schuko to IEC cable 1,5	Strom-Verlängerungskabel, 3-polig, 5ft (1,5m), AWG 16, Schwarz, IEC320 C14 auf IEC320 C13, 250V/13A	 - 	0.5	 - 	Stromkabel Schuko to IEC cable 1,5	Strom-Verlängerungskabel, 3-polig, 5ft (1,5m), AWG 16, Schwarz, IEC320 C14 auf IEC320 C13, 250V/13A	NULL	 - 	 - 	 - 	 - 	20	17	3	0	0	 - 	 - 	 - 	 - 	 - 	0.100	0
AR74	 - 	Kabel - Strom 230V	VerlÃ¤ngerungskabel/Schukokabel 3m	Verlängerungskabel/Schukokabel 3m/3G1,5	5	2.5	5	Schukokabel 2,5m/3G1,5	Schukokabel 2,5m/3G1,5	NULL	 - 	 - 	 - 	 - 	41	20	21	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR75	 - 	Kabel - Strom 230V	VerlÃ¤ngerungskabel/Schukokabel 20m/3G1,5	Verlängerungskabel/Schukokabel 20m/3G1,5	3.5	4	7.5	Schukokabel 20m/3G1,5	Schukokabel 20m/3G1,5	NULL	 - 	 - 	 - 	 - 	12	0	12	0	0	 - 	 - 	 - 	 - 	 - 	5.000	0
AR76	 - 	Kabel - Strom 230V	VerlÃ¤ngerungskabel Schukokabel 50m/3G2,5	Verlängerungskabel Schukokabel 50m/3G2,5	10	15	20	Schukokabel 50m/3G2,5	Schukokabel 50m/3G2,5	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	10.000	0
AR112	 - 	Kabel - Strom 230V	Verkabelung Strom n.B.	Stromzuleitungen, Mehrfachsteckdosen, Starkstromkabel, Verlängerungen usw.	 - 	100	 - 	Verkabelung Strom n.B.	Stromzuleitungen, Mehrfachsteckdosen, Starkstromkabel, Verlängerungen usw.	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR523	 - 	Kabel - Strom 230V	Stromkabel Schuko to IEC cable 3m	Stromkabel Schuko to IEC cable 3m	 - 	0.5	 - 	Stromkabel Schuko to IEC cable 3m	Strom-Verlängerungskabel, 3-polig, 5ft (3m), AWG 16, Schwarz, IEC320 C14 auf IEC320 C13, 250V/13A	NULL	 - 	 - 	 - 	 - 	20	20	0	0	0	 - 	 - 	 - 	 - 	 - 	0.100	0
AR550	 - 	Kabel - Strom 230V	Netzkabel Schuko	Netzkabel Schuko	 - 	0,50	 - 	Netzkabel Schuko	Netzkabel Schuko	NULL	 - 	 - 	 - 	 - 	10	0	10	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR658	 - 	Kabel - Strom 230V	P-Con Netzkabel 1-4, 3x2,5mmÂ²	P-Con Netzkabel 1-4, 3x2,5mm²	 - 	1	 - 	P-Con Netzkabel 1-4, 3x2,5mmÂ²	P-Con Netzkabel 1-4, 3x2,5mm²	NULL	 - 	 - 	 - 	 - 	10	10	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR660	 - 	Kabel - Strom 230V	PowerCon Verbindungskabel 3x1,5 3m	PowerCon Verbindungskabel 3x1,5 3m	 - 	0.5	 - 	PowerCon Verbindungskabel 3x1,5 3m	PowerCon Verbindungskabel 3x1,5 3m	NULL	 - 	 - 	 - 	 - 	40	40	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR661	 - 	Kabel - Strom 230V	PowerCon Verbindungskabel 3x1,5 5m	PowerCon Verbindungskabel 3x1,5 5m	 - 	 - 	 - 	PowerCon Verbindungskabel 3x1,5 5m	PowerCon Verbindungskabel 3x1,5 5m	NULL	 - 	 - 	 - 	 - 	40	40	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR662	 - 	Kabel - Strom 230V	PowerCon Verbindungskabel  Patchkabel	PowerCon Verbindungskabel Patchkabel	 - 	0.5	 - 	PSSO PowerCon Verbindungskabel 	PSSO PowerCon Verbindungskabel 	NULL	 - 	 - 	 - 	 - 	30	30	0	0	0	 - 	 - 	 - 	 - 	50	0.000	0
AR663	 - 	Kabel - Strom 230V	PowerCon Netzkabel 3x1,5 5m H07RN-F	PowerCon Netzkabel 3x1,5 5m H07RN-F	 - 	 - 	 - 	PowerCon Netzkabel 3x1,5 5m H07RN-F	PowerCon Netzkabel 3x1,5 5m H07RN-F	NULL	 - 	 - 	 - 	 - 	100	100	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR664	 - 	Kabel - Strom 230V	PowerCon Netzkabel 3x1,5 10m H07RN-F	PowerCon Netzkabel 3x1,5 10m H07RN-F	 - 	2.5	 - 	PowerCon Netzkabel 3x1,5 10m H07RN-F	PowerCon Netzkabel 3x1,5 10m H07RN-F	NULL	 - 	 - 	 - 	 - 	5	5	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR665	 - 	Kabel - Strom 230V	VerlÃ¤ngerung 3x1,5 5m 3-fach	Verlängerung 3x1,5 5m 3-fach	 - 	2.5	 - 	VerlÃ¤ngerung 3x1,5 5m 3-fach	Verlängerung 3x1,5 5m 3-fach	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR666	 - 	Kabel - Strom 230V	PowerCon Verbindungskabel 3x2,5 1m	PowerCon Verbindungskabel 3x2,5 1m	 - 	1	 - 	PowerCon Verbindungskabel 3x2,5 1m	PowerCon Verbindungskabel 3x2,5 1m	NULL	 - 	 - 	 - 	 - 	120	120	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR667	 - 	Kabel - Strom 230V	KabelverlÃ¤ngerungsrolle 50m 3x1.5mm	Kabelverlängerungsrolle 50m 3x1.5mm	7	10	20	KabelverlÃ¤ngerungsrolle 50m 3x1.5mm	Kabelverlängerungsrolle 50m 3x1.5mm	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	10.000	0
AR668	 - 	Kabel - Strom 230V	KabelverlÃ¤ngerungsrolle 25m 3x1.5mm	Kabelverlängerungsrolle 25m 3x1.5mm	7	10	20	KabelverlÃ¤ngerungsrolle 25m 3x1.5mm	Kabelverlängerungsrolle 25m 3x1.5mm	NULL	 - 	 - 	 - 	 - 	6	6	0	0	0	 - 	 - 	 - 	 - 	 - 	10.000	0
AR723	 - 	Kabel - Strom 230V	 PCONL 0300 X - Netzkabel blue x grey Powercone	 PCONL 0300 X - Netzkabel blue x grey Powercone	 - 	 - 	 - 	 PCONL 0300 X - Netzkabel blue x grey Powercone	 PCONL 0300 X - Netzkabel blue x grey Powercone	NULL	 - 	22,50	 - 	 - 	3	0	3	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
